date,predicted_yield
2023-01-01,2.9642784999999963
2023-01-02,2.9395832499999983
2023-01-03,2.5021734999999965
2023-01-04,2.6717958999999967
2023-01-05,3.0116475999999994
2023-01-06,3.2141928500000048
2023-01-07,3.3016969000000063
2023-01-08,3.440745050000009
2023-01-09,3.489951000000009
2023-01-10,3.359434050000007
2023-01-11,3.1220674000000006
2023-01-12,2.9504316999999993
2023-01-13,3.0543727500000015
2023-01-14,2.6969861499999968
2023-01-15,3.3373387500000047
2023-01-16,3.3997431500000035
2023-01-17,3.384505550000002
2023-01-18,3.36212995
2023-01-19,3.351029050000002
2023-01-20,3.274321000000005
2023-01-21,3.1115377499999988
2023-01-22,3.2740791500000017
2023-01-23,3.0912764999999998
2023-01-24,3.1824201499999965
2023-01-25,3.3139297499999985
2023-01-26,3.2070100499999974
2023-01-27,3.0882708
2023-01-28,3.1534880500000004
2023-01-29,3.230754149999998
2023-01-30,3.0777473499999974
2023-01-31,3.0291869999999985
2023-02-01,2.9749093999999996
2023-02-02,2.825055999999998
2023-02-03,2.7099545499999964
2023-02-04,2.6562685999999944
2023-02-05,2.719560599999996
2023-02-06,2.4926099999999956
2023-02-07,2.679197099999998
2023-02-08,2.8227802499999974
2023-02-09,2.8940954499999987
2023-02-10,2.618736599999998
2023-02-11,2.4598329999999975
2023-02-12,2.512057399999998
2023-02-13,2.6434533000000004
2023-02-14,2.8424153500000044
2023-02-15,3.051407750000004
2023-02-16,3.130187650000003
2023-02-17,2.732452850000001
2023-02-18,2.94480965
2023-02-19,2.9604538999999988
2023-02-20,3.0082058499999964
2023-02-21,3.0975733499999993
2023-02-22,3.525079999999993
2023-02-23,3.5457128499999953
2023-02-24,2.917893849999997
2023-02-25,2.8268066999999997
2023-02-26,2.8206793499999994
2023-02-27,2.86331805
2023-02-28,2.8406788000000005
2023-03-01,2.80264795
2023-03-02,2.8259698999999983
2023-03-03,2.8857667000000005
2023-03-04,2.8164068999999996
2023-03-05,2.6470657500000003
2023-03-06,2.554071500000001
2023-03-07,2.5185759499999985
2023-03-08,2.701342549999999
2023-03-09,2.8141941000000004
2023-03-10,2.81868005
2023-03-11,2.826988249999999
2023-03-12,2.7750411499999994
2023-03-13,2.7789035000000006
2023-03-14,2.78265175
2023-03-15,2.7864
2023-03-16,2.7751552499999996
2023-03-17,2.8127007500000003
2023-03-18,2.7864
2023-03-19,2.7864
2023-03-20,2.7864
2023-03-21,2.7976717499999997
2023-03-22,2.80680395
2023-03-23,2.802601050000001
2023-03-24,2.73183735
2023-03-25,2.7130961
2023-03-26,2.71846205
2023-03-27,2.709331450000001
2023-03-28,2.71683695
2023-03-29,2.71937155
2023-03-30,2.7293061500000007
2023-03-31,2.7222267000000007
2023-04-01,2.7238607999999997
2023-04-02,2.7317784500000006
2023-04-03,2.746686450000001
2023-04-04,2.7603525
2023-04-05,2.7810215000000005
2023-04-06,2.78307485
2023-04-07,2.7554220000000003
2023-04-08,2.75628235
2023-04-09,2.9297906000000027
2023-04-10,3.0002912500000036
2023-04-11,3.0314760500000033
2023-04-12,3.0920120500000046
2023-04-13,3.1039909500000045
2023-04-14,2.992378200000001
2023-04-15,3.0101400500000013
2023-04-16,3.0934796000000033
2023-04-17,3.1172465000000034
2023-04-18,3.277597150000005
2023-04-19,3.400311900000007
2023-04-20,3.3689194500000057
2023-04-21,3.1578345000000043
2023-04-22,3.0507701
2023-04-23,3.0669851499999994
2023-04-24,3.0735215499999993
2023-04-25,3.1001471999999994
2023-04-26,3.1075042999999996
2023-04-27,3.0747301499999997
2023-04-28,3.04911185
2023-04-29,3.0469977
2023-04-30,3.0900565
2023-05-01,3.08630825
2023-05-02,3.0701612
2023-05-03,3.0378670999999997
2023-05-04,2.889551900000001
2023-05-05,2.91770985
2023-05-06,2.9154017499999996
2023-05-07,2.8981006499999995
2023-05-08,2.887142
2023-05-09,2.86080245
2023-05-10,2.8568602500000004
2023-05-11,2.7997685499999996
2023-05-12,2.8638766999999996
2023-05-13,2.8573402999999997
2023-05-14,2.8540721
2023-05-15,2.8512839499999996
2023-05-16,2.8529180499999995
2023-05-17,2.7903422
2023-05-18,2.7254679
2023-05-19,2.76343045
2023-05-20,2.7763093000000003
2023-05-21,2.7864
2023-05-22,2.7826517500000008
2023-05-23,2.78428585
2023-05-24,2.78591995
2023-05-25,2.806683200000001
2023-05-26,2.7870739999999996
2023-05-27,2.79245635
2023-05-28,2.8011069
2023-05-29,2.8011069
2023-05-30,2.8060092
2023-05-31,2.8190820000000003
2023-06-01,2.826772450000001
2023-06-02,2.9759556
2023-06-03,3.0249786
2023-06-04,3.0249786
2023-06-05,3.0266127
2023-06-06,3.0228644499999997
2023-06-07,3.0326690499999995
2023-06-08,3.0302687999999995
2023-06-09,3.036417299999999
2023-06-10,3.0326690499999995
2023-06-11,3.0473759499999993
2023-06-12,3.050644149999999
2023-06-13,3.050644149999999
2023-06-14,3.0571805499999996
2023-06-15,3.0444956499999996
2023-06-16,3.050644149999999
2023-06-17,3.050644149999999
2023-06-18,3.0571805499999996
2023-06-19,3.0571805499999996
2023-06-20,3.053432299999999
2023-06-21,3.0632368999999993
2023-06-22,3.0444956499999996
2023-06-23,3.053912349999999
2023-06-24,3.0571805499999996
2023-06-25,3.053432299999999
2023-06-26,3.0550663999999994
2023-06-27,3.0550663999999994
2023-06-28,3.055740399999999
2023-06-29,3.0444956499999996
