date,predicted_yield
2023-01-01,1.1133225500000008
2023-01-02,1.1175813499999996
2023-01-03,1.1193021000000014
2023-01-04,1.0983434500000029
2023-01-05,1.1073528000000028
2023-01-06,1.1160535500000033
2023-01-07,1.0661126500000035
2023-01-08,1.090173150000004
2023-01-09,1.0355894000000037
2023-01-10,1.1098015000000039
2023-01-11,1.103015400000004
2023-01-12,1.0959561500000035
2023-01-13,1.0834776000000033
2023-01-14,1.068116500000003
2023-01-15,1.0554744500000028
2023-01-16,1.084960300000001
2023-01-17,1.0736583500000005
2023-01-18,1.075644800000001
2023-01-19,1.143003250000001
2023-01-20,1.085292500000002
2023-01-21,1.148151750000001
2023-01-22,1.156727800000002
2023-01-23,1.1752342000000013
2023-01-24,1.1741189999999997
2023-01-25,1.1695389499999997
2023-01-26,1.0971750500000004
2023-01-27,1.1773244500000004
2023-01-28,1.1908199500000005
2023-01-29,1.1742544000000008
2023-01-30,1.1232438500000002
2023-01-31,1.0646896000000015
2023-02-01,1.0795758000000015
2023-02-02,1.0563099500000017
2023-02-03,1.1095713000000023
2023-02-04,1.0725231000000033
2023-02-05,1.0915984500000036
2023-02-06,1.0769437500000019
2023-02-07,1.0466601000000015
2023-02-08,1.0325971500000022
2023-02-09,1.0193793000000015
2023-02-10,0.9826366500000012
2023-02-11,1.0076855500000015
2023-02-12,1.100048
2023-02-13,1.1602081999999991
2023-02-14,1.1591299999999987
2023-02-15,1.1658963999999978
2023-02-16,1.1628663499999983
2023-02-17,1.1686046999999997
2023-02-18,1.1637051500000013
2023-02-19,1.141653050000002
2023-02-20,1.1235354000000006
2023-02-21,1.1092518499999995
2023-02-22,1.0935749
2023-02-23,1.0933967000000004
2023-02-24,1.0949984000000024
2023-02-25,1.1360102500000027
2023-02-26,1.0826393500000018
2023-02-27,1.0616558500000017
2023-02-28,1.0422847500000016
2023-03-01,1.026261750000003
2023-03-02,1.0612952500000021
2023-03-03,1.0955832000000032
2023-03-04,1.0955669500000027
2023-03-05,1.0858080500000025
2023-03-06,1.084307400000002
2023-03-07,1.1089188000000005
2023-03-08,1.14154325
2023-03-09,1.1607862999999987
2023-03-10,1.1777664499999994
2023-03-11,1.1838793499999998
2023-03-12,1.1887339499999996
2023-03-13,1.1906380999999993
2023-03-14,1.17935165
2023-03-15,1.1870158999999998
2023-03-16,1.1674357000000006
2023-03-17,1.1664127000000013
2023-03-18,1.1647270000000014
2023-03-19,1.1650010000000015
2023-03-20,1.1965159500000022
2023-03-21,1.170430350000001
2023-03-22,1.1610357500000021
2023-03-23,1.1080706000000007
2023-03-24,1.1416463000000023
2023-03-25,1.1056141500000023
2023-03-26,1.0212148000000019
2023-03-27,0.8682859500000016
2023-03-28,0.8110246500000013
2023-03-29,0.8618359500000016
2023-03-30,0.9249709500000017
2023-03-31,0.8851067500000014
2023-04-01,0.8718280000000013
2023-04-02,0.9160085999999993
2023-04-03,0.88826885
2023-04-04,0.9601413499999992
2023-04-05,0.8901546000000002
2023-04-06,0.997280599999999
2023-04-07,0.9153200499999993
2023-04-08,0.937054099999999
2023-04-09,0.9243256499999991
2023-04-10,0.9498967999999991
2023-04-11,0.9691060999999992
2023-04-12,0.8345080500000003
2023-04-13,0.9209096
2023-04-14,0.771993700000001
2023-04-15,0.7625915500000012
2023-04-16,0.7679283000000013
2023-04-17,0.7834566500000011
2023-04-18,0.8692822000000002
2023-04-19,0.8436999500000009
2023-04-20,1.03239885
2023-04-21,1.050245350000002
2023-04-22,1.0985085500000025
2023-04-23,1.167600700000003
2023-04-24,1.1672696500000033
2023-04-25,1.1226649500000017
2023-04-26,1.1105621500000027
2023-04-27,1.106223400000001
2023-04-28,1.0377786000000002
2023-04-29,0.9676899499999999
2023-04-30,0.8910418000000003
2023-05-01,0.8946736000000002
2023-05-02,0.9031856500000005
2023-05-03,1.03543055
2023-05-04,1.0478583999999997
2023-05-05,1.0791745999999995
2023-05-06,1.0955681999999993
2023-05-07,1.1105823999999989
2023-05-08,1.1153219999999997
2023-05-09,1.11433885
2023-05-10,1.1187972999999993
2023-05-11,1.1093238000000003
2023-05-12,1.1183426999999995
2023-05-13,1.1416398500000005
2023-05-14,1.1135548500000014
2023-05-15,1.1027779000000018
2023-05-16,1.1072173000000014
2023-05-17,1.0906898000000014
2023-05-18,1.094997700000001
2023-05-19,1.1196486000000008
2023-05-20,1.1159762000000006
2023-05-21,1.1131533500000006
2023-05-22,1.0923655500000016
2023-05-23,1.0394087500000024
2023-05-24,1.0800082500000026
2023-05-25,1.1100916500000024
2023-05-26,1.1517297500000032
2023-05-27,1.1847252000000035
2023-05-28,1.1837630500000036
2023-05-29,1.1837630500000036
2023-05-30,1.1886676500000035
2023-05-31,1.1949201500000037
2023-06-01,1.1949201500000037
2023-06-02,1.1974700000000036
2023-06-03,1.1974700000000036
2023-06-04,1.1974700000000036
2023-06-05,1.1974700000000036
2023-06-06,1.1974700000000036
2023-06-07,1.1974700000000036
2023-06-08,1.1939052500000036
2023-06-09,1.1974700000000036
2023-06-10,1.1722805000000036
2023-06-11,1.1054585000000032
2023-06-12,1.1036525000000033
2023-06-13,1.0924584500000032
2023-06-14,1.072666100000003
2023-06-15,1.0272185000000025
2023-06-16,1.0080183500000024
2023-06-17,1.002674000000002
2023-06-18,0.998617100000002
2023-06-19,0.9914063000000018
2023-06-20,0.9926312000000017
2023-06-21,1.0159806500000013
2023-06-22,1.0155489500000008
2023-06-23,1.0300289000000007
2023-06-24,1.0516196000000009
2023-06-25,1.1097113000000014
2023-06-26,1.1926548000000035
