date,predicted_yield
2023-01-01,3.5754706999999972
2023-01-02,3.576009999999997
2023-01-03,3.576009999999997
2023-01-04,3.576009999999997
2023-01-05,3.5743920999999967
2023-01-06,3.576009999999997
2023-01-07,3.576009999999997
2023-01-08,3.576009999999997
2023-01-09,3.5749313999999974
2023-01-10,3.5754706999999972
2023-01-11,3.5754706999999972
2023-01-12,3.576009999999997
2023-01-13,3.570077699999997
2023-01-14,3.5129119000000033
2023-01-15,3.5123726000000026
2023-01-16,3.5064403000000026
2023-01-17,3.514529800000002
2023-01-18,3.5134512000000018
2023-01-19,3.554977299999998
2023-01-20,3.560370299999998
2023-01-21,3.567381199999997
2023-01-22,3.565223999999997
2023-01-23,3.567381199999997
2023-01-24,3.5679204999999974
2023-01-25,3.568999099999997
2023-01-26,3.567920499999997
2023-01-27,3.5657632999999977
2023-01-28,3.5636060999999977
2023-01-29,3.5630667999999974
2023-01-30,3.5646846999999973
2023-01-31,3.5663025999999967
2023-02-01,3.5668418999999973
2023-02-02,3.5652239999999966
2023-02-03,3.5636060999999972
2023-02-04,3.558213099999998
2023-02-05,3.5506628999999985
2023-02-06,3.4832504000000024
2023-02-07,3.4805539000000025
2023-02-08,3.487564800000003
2023-02-09,3.5059010000000006
2023-02-10,3.4918792000000023
2023-02-11,3.4988901000000023
2023-02-12,3.5501235999999974
2023-02-13,3.571156299999997
2023-02-14,3.5630667999999988
2023-02-15,3.553359399999999
2023-02-16,3.5441912999999996
2023-02-17,3.5671043499999984
2023-02-18,3.5649471499999983
2023-02-19,3.5587523999999977
2023-02-20,3.5193691
2023-02-21,3.491296700000003
2023-02-22,3.491850400000003
2023-02-23,3.4907574000000023
2023-02-24,3.490261300000003
2023-02-25,3.476778800000003
2023-02-26,3.479475300000002
2023-02-27,3.477857400000003
2023-02-28,3.4832504000000033
2023-03-01,3.484329000000003
2023-03-02,3.4851307500000024
2023-03-03,3.5528200999999995
2023-03-04,3.565763299999998
2023-03-05,3.567381199999998
2023-03-06,3.571156299999998
2023-03-07,3.571156299999998
2023-03-08,3.571156299999998
2023-03-09,3.5679204999999974
2023-03-10,3.568999099999998
2023-03-11,3.565763299999998
2023-03-12,3.567920499999998
2023-03-13,3.5533593999999984
2023-03-14,3.536364249999999
2023-03-15,3.5239603499999985
2023-03-16,3.51587085
2023-03-17,3.491339900000001
2023-03-18,3.4859469000000014
2023-03-19,3.4859469000000014
2023-03-20,3.478396700000003
2023-03-21,3.573313499999997
2023-03-22,3.576009999999997
2023-03-23,3.576009999999997
2023-03-24,3.576009999999997
2023-03-25,3.576009999999997
2023-03-26,3.576009999999997
2023-03-27,3.576009999999997
2023-03-28,3.576009999999997
2023-03-29,3.576009999999997
2023-03-30,3.576009999999997
2023-03-31,3.576009999999997
2023-04-01,3.576009999999997
2023-04-02,3.576009999999997
2023-04-03,3.576009999999997
2023-04-04,3.576009999999997
2023-04-05,3.576009999999997
2023-04-06,3.576009999999997
2023-04-07,3.576009999999997
2023-04-08,3.576009999999997
2023-04-09,3.576009999999997
2023-04-10,3.576009999999997
2023-04-11,3.576009999999997
2023-04-12,3.576009999999997
2023-04-13,3.576009999999997
2023-04-14,3.576009999999997
2023-04-15,3.576009999999997
2023-04-16,3.576009999999997
2023-04-17,3.576009999999997
2023-04-18,3.576009999999997
2023-04-19,3.576009999999997
2023-04-20,3.576009999999997
2023-04-21,3.576009999999997
2023-04-22,3.576009999999997
2023-04-23,3.576009999999997
2023-04-24,3.576009999999997
2023-04-25,3.576009999999997
2023-04-26,3.576009999999997
2023-04-27,3.576009999999997
2023-04-28,3.576009999999997
2023-04-29,3.576009999999997
2023-04-30,3.576009999999997
2023-05-01,3.576009999999997
2023-05-02,3.576009999999997
2023-05-03,3.576009999999997
2023-05-04,3.576009999999997
2023-05-05,3.576009999999997
2023-05-06,3.576009999999997
2023-05-07,3.576009999999997
2023-05-08,3.576009999999997
2023-05-09,3.576009999999997
2023-05-10,3.576009999999997
2023-05-11,3.576009999999997
2023-05-12,3.576009999999997
2023-05-13,3.576009999999997
2023-05-14,3.576009999999997
2023-05-15,3.576009999999997
2023-05-16,3.576009999999997
2023-05-17,3.576009999999997
2023-05-18,3.576009999999997
2023-05-19,3.576009999999997
2023-05-20,3.576009999999997
2023-05-21,3.576009999999997
2023-05-22,3.576009999999997
2023-05-23,3.576009999999997
2023-05-24,3.576009999999997
2023-05-25,3.576009999999997
2023-05-26,3.576009999999997
2023-05-27,3.576009999999997
2023-05-28,3.576009999999997
2023-05-29,3.576009999999997
2023-05-30,3.576009999999997
2023-05-31,3.5397287499999974
2023-06-01,3.5276349999999974
2023-06-02,3.5115099999999977
2023-06-03,3.4953849999999984
2023-06-04,3.483291249999999
2023-06-05,3.4953849999999984
2023-06-06,3.4953849999999984
2023-06-07,2.914885000000007
2023-06-08,2.8665100000000074
2023-06-09,2.8060412500000087
2023-06-10,2.7979787500000084
2023-06-11,2.7939475000000082
2023-06-12,2.822166250000008
2023-06-13,2.822166250000008
2023-06-14,2.826197500000008
2023-06-15,2.826197500000008
2023-06-16,2.7939475000000082
2023-06-17,2.7939475000000082
2023-06-18,2.7939475000000082
2023-06-19,2.7939475000000082
2023-06-20,2.7939475000000082
2023-06-21,2.822166250000008
2023-06-22,2.826197500000008
2023-06-23,2.7939475000000082
2023-06-24,2.7939475000000082
2023-06-25,2.7939475000000082
2023-06-26,2.7939475000000082
2023-06-27,2.7939475000000082
2023-06-28,2.802010000000008
2023-06-29,2.826197500000008
