date,predicted_yield
2023-01-01,1.9280584999999966
2023-01-02,1.9291875999999955
2023-01-03,1.8698645499999966
2023-01-04,1.8364481499999965
2023-01-05,1.8541802499999958
2023-01-06,1.8093660999999972
2023-01-07,1.8047337499999976
2023-01-08,1.7832310999999978
2023-01-09,1.8408958499999963
2023-01-10,1.8588260999999957
2023-01-11,1.8216601499999967
2023-01-12,1.841891999999997
2023-01-13,1.7707025499999984
2023-01-14,1.7282038499999997
2023-01-15,1.7224456500000003
2023-01-16,1.775442149999997
2023-01-17,1.8616391999999973
2023-01-18,1.953085949999995
2023-01-19,1.986867749999998
2023-01-20,1.8393667999999999
2023-01-21,1.965465650000001
2023-01-22,2.0614690000000007
2023-01-23,2.0976132000000036
2023-01-24,2.10626535
2023-01-25,2.04847315
2023-01-26,2.0154339999999955
2023-01-27,2.046300999999998
2023-01-28,2.0313731999999995
2023-01-29,2.027903850000001
2023-01-30,1.9961780999999976
2023-01-31,1.885955199999998
2023-02-01,1.9119458999999992
2023-02-02,1.883991649999997
2023-02-03,1.8865344499999983
2023-02-04,1.9186675499999952
2023-02-05,1.8301165499999954
2023-02-06,1.8387577499999963
2023-02-07,1.756042849999999
2023-02-08,1.724794849999997
2023-02-09,1.6906721999999985
2023-02-10,1.6613606499999969
2023-02-11,1.7882986999999968
2023-02-12,1.9501641999999955
2023-02-13,2.0488235999999937
2023-02-14,2.061843649999994
2023-02-15,2.086132899999994
2023-02-16,2.0617345499999957
2023-02-17,2.0251672499999964
2023-02-18,2.0327799999999985
2023-02-19,1.9492743999999982
2023-02-20,1.954477699999999
2023-02-21,2.012304400000001
2023-02-22,1.9620375999999984
2023-02-23,1.9186177000000004
2023-02-24,1.8987409500000008
2023-02-25,1.9260609499999988
2023-02-26,1.8743019500000009
2023-02-27,1.8604101500000008
2023-02-28,1.8946496000000013
2023-03-01,1.8732374999999999
2023-03-02,1.9267763499999995
2023-03-03,1.9074906000000018
2023-03-04,1.916236500000002
2023-03-05,1.9255785500000024
2023-03-06,1.9629611500000035
2023-03-07,2.0463745000000024
2023-03-08,2.069849300000003
2023-03-09,2.0726171000000027
2023-03-10,2.1199520000000036
2023-03-11,2.1169013500000036
2023-03-12,2.1546593500000037
2023-03-13,2.140773400000003
2023-03-14,2.1205467000000033
2023-03-15,2.1055192500000026
2023-03-16,2.110861700000002
2023-03-17,2.123825450000003
2023-03-18,2.144955350000003
2023-03-19,2.159023800000002
2023-03-20,2.1144693000000028
2023-03-21,2.107063400000001
2023-03-22,2.070314849999999
2023-03-23,2.0344499499999995
2023-03-24,2.006493549999998
2023-03-25,1.8889761999999977
2023-03-26,1.735891899999998
2023-03-27,1.483587949999996
2023-03-28,1.5403059499999978
2023-03-29,1.4334598999999968
2023-03-30,1.5309276999999972
2023-03-31,1.4411427499999965
2023-04-01,1.4469037499999964
2023-04-02,1.4591361499999962
2023-04-03,1.506242999999997
2023-04-04,1.5267958999999969
2023-04-05,1.5438210999999973
2023-04-06,1.497460799999997
2023-04-07,1.4483636499999957
2023-04-08,1.5561998999999975
2023-04-09,1.6071443999999977
2023-04-10,1.6606817499999982
2023-04-11,1.6127595499999978
2023-04-12,1.5286647999999976
2023-04-13,1.4580870499999963
2023-04-14,1.2368781999999936
2023-04-15,1.2188462499999937
2023-04-16,1.2486510999999938
2023-04-17,1.3060228499999942
2023-04-18,1.303761199999994
2023-04-19,1.4495773499999958
2023-04-20,1.5527683999999973
2023-04-21,1.5447355499999975
2023-04-22,1.6324667499999972
2023-04-23,1.8737043499999968
2023-04-24,1.9205320499999958
2023-04-25,1.947209899999995
2023-04-26,1.9605719499999958
2023-04-27,1.9398538499999942
2023-04-28,1.8599266999999973
2023-04-29,1.7367009499999972
2023-04-30,1.5288431999999963
2023-05-01,1.5087424999999957
2023-05-02,1.555974549999996
2023-05-03,1.6891687999999965
2023-05-04,1.7604521999999958
2023-05-05,1.9841427999999943
2023-05-06,2.009937799999994
2023-05-07,2.0157172499999936
2023-05-08,2.011134449999992
2023-05-09,2.003089549999993
2023-05-10,2.011939449999993
2023-05-11,2.026054199999993
2023-05-12,1.9694732999999942
2023-05-13,1.9624721499999953
2023-05-14,1.9278170499999954
2023-05-15,1.989711249999994
2023-05-16,1.9850334499999942
2023-05-17,1.9513337499999945
2023-05-18,1.9834110499999944
2023-05-19,1.9959070499999938
2023-05-20,1.9990443999999945
2023-05-21,1.9942795499999952
2023-05-22,1.9623861499999962
2023-05-23,1.9828138999999962
2023-05-24,1.999536099999996
2023-05-25,2.0047077999999963
2023-05-26,2.007430499999996
2023-05-27,2.0269459499999956
2023-05-28,2.0364875499999955
2023-05-29,2.0364875499999955
2023-05-30,2.0435949499999957
2023-05-31,2.0435949499999957
2023-06-01,2.041868399999996
2023-06-02,2.0458199999999955
2023-06-03,2.0458199999999955
2023-06-04,2.0458199999999955
2023-06-05,2.0458199999999955
2023-06-06,2.0458199999999955
2023-06-07,2.0435949499999957
2023-06-08,2.0359236499999955
2023-06-09,2.0327137499999957
2023-06-10,2.032066299999995
2023-06-11,2.0201559499999946
2023-06-12,2.0167998499999946
2023-06-13,1.9325559499999947
2023-06-14,1.9356869499999936
2023-06-15,1.9213244499999933
2023-06-16,1.9002594499999932
2023-06-17,1.8685512499999932
2023-06-18,1.8669537499999935
2023-06-19,1.8561477999999934
2023-06-20,1.8682671499999948
2023-06-21,1.8985348999999943
2023-06-22,1.8612819499999946
2023-06-23,1.8946388499999938
2023-06-24,1.8884201499999944
2023-06-25,1.9047431499999954
2023-06-26,2.018447499999996
